,name,place,description
103,manali,Himalaya Nyingmapa Buddhist Temple,"Himalayan Nyingmapa Buddhist Temple is one of the famous Buddhist monastery in Manali. The main feature of the temple is the large statue of Sakyamuni, the historical Lord Buddha and beautiful wall paintings. The structure of the monastery is Pagoda style with yellow coloured top.

‘Nyingma’ literally translates to ‘ancient’ and the tradition is the oldest of the four major schools of Tibetan Buddhism. The Himalayan Nyingmapa Buddhist Temple is one of the most prominent Buddhist monasteries in Manali. It houses a two-storey tall statue of Sakyamuni, the historical Buddha, which the main feature of the temple. A helpful sign guides the tourists to span the ‘Chortens’ or Stupas in the right direction which is anticlockwise."
104,mussoorie,Kempty Falls,"Kempty Falls is a truly remarkable and beautiful waterfall, one of the most popular tourist destinations of Mussoorie. The waterfall is overlooked on both sides by the verdant forests of the Mussoorie hills, and as you look up towards the forests and the cliff, it looks like a truly magnificent sight to behold. 

You can reach the falls though a ropeway, which offers you a breathtaking view of the forested hills down below. The refreshingly cool water from the Fall collects into a pool, prompting tourists to take a dip in the pool and relax, to get away from the warmth of the sun. Standing directly beneath the gushing water of the waterfall is an experience which is simply beautiful. Around the waterfall are some restaurants which serve some of the most delicious food in Mussoorie."
105,mussoorie,Lal Tibba,"Lal Tibba is the highest place of Mussoorie, and is also known as the Landour Ridge. Lal Tibba offers one of the most breathtaking views you will ever see, and is sure to leave you spell bound with its enchanting beauty. The presence of Military Camps in Lal Tibba nowadays may restrict some areas for trekking, but the majority of the Hill is open for exploration!

The telescope mounted upon the viewpoint of the Lal Tibba, which offers a magnificent views of the majestic Himalayan peaks, such Badrinath, Kedarnath, and Banderpunch, among others. Apart from the breathtaking view, you can also see the impact of British architecture on this place, in the old houses and buildings. You can also buy some souvenirs from the Sister's Bazaar, which is a popular shopping stop for both, tourists, and locals."
106,mussoorie,Mall Road,"The Mall Road is the iconic road of Mussoorie, which has been the favourite place for tourists, as well as locals, to take an evening stroll, and browse through the variety of shops and restaurants the place has to offer. Car entry is generally restricted on the Mall Road, and even prohibited if the number of tourists is high. 

The Mall Road is an exceptionally clean and tidy road, which amplify your experience of the place. Situated on the Mall road are several decent hotels and lodgings, apart from various shops and restaurants. Mall Road houses some of the finest eateries of Mussoorie, where you can find all the popular cuisines of India. The shops have a great variety of items and souvenirs for your friends and family, which will make shopping at Mall Road a great convenience for you."
107,tadoba national park,Jeep Safari in Tadoba National Park,"A safari ride is the most adventurous journey that connects you with nature. You can experience safe encounters with the world famous Bengal tigers through the safari ride and can come across jungle cats, hyenas, wild bears, and cheetahs apart from the tigers.

Tadoba National Park can be explored in open jeeps though it’s a mandatory that your vehicle be registered with the administration of Tadoba. You will need id proof or passport in case of foreign nationals. The booking activities can be done in advance from Chandrapur. 
The major attraction of staying at the Tadoba National Park is the safari ride."
108,colombo,Gangaramaya Buddhist Temple,"Run by one of Sri Lanka’s more politically adept monks, Galboda Gnanissara Thera, this bustling temple complex has a library, a museum and an extraordinarily eclectic array of bejewelled and gilded gifts presented by devotees and well-wishers over the years (plus one lonely and chained temple elephant named Ganga). Gangaramaya is the focus of the Navam Perahera on the February poya (full-moon) day each year."
109,colombo,Galle Face Green,"Galle Face Green, a long stretch of lawn facing the sea. It's a magnificent place to witness a marvelous sun set over Sri lanka. Sri lanka travels always enjoys and cherish an evening by the Gall face green.
At the end of the green lies the magnificent Galle face hotel, an architectural marvel from the colonial era.
The hotels offers many great services with delicious tropical foods.The hotels best feature is the open verandah with chairs and tables facing out the sea.
Without a doubt it is one of the best spots to have an evening drink as the wonderful breeze coming off the ocean and an evening sinking the whole city in crimson red."
110,colombo,Colombo National Museum,"The museum holds many artifacts from different eras of much importance to Sri lanka such as regalia, including the thrown and the crown of the kandyan monarch. Kandyan monarch is one of the highlights in Sri lanka tourism and one of the most appreciated by the tourist travel Sri lanka.
The Museum holds three main sections for Natural science, Cultural and library and natural section consists of four main sub sections as Entomology, Zoology, Botany and Geology."
111,colombo,Colombo Fort,"The historic heart of Colombo is peppered with beautiful, mainly old colonial buildings. People generally walk around the streets in Colombo Fort and the most interesting place to visit would be the floating mosque."
112,colombo,Old Dutch Hospital,"Centrepiece of the ever-more vibrant Fort, The Old Colombo Dutch Hospital (known as The Dutch Hospital ) is considered to be the oldest building in the Colombo Fort. It is now a heritage building and a shopping and dining precinct. Enjoy a pause for a cold drink amid the incredibly thick columns of its arcades. An annex has now opened in a 19th-century British building on the backside that faces Chatham St."
113,colombo,Beira Lake,"Beira Lake is a nice place to chill out on a cool day - it's a hot spot for couples but there's a great view for anyone to enjoy here especially at night when it's lit up.

You can stroll down the quiet walkways under the shade of trees, paddle out on the lake on a swan-boat, visit the water-temple on the lake, cross the bridge to lovers' island, or have some juice or tea nearby."
114,colombo,Kelaniya Raja Maha Vihara,"It’s believed Buddha visited the site of this temple on his third visit to Sri Lanka. Suitably grand and labyrinthine, it has a dramatic past. Among the many Buddhist temples of Sri Lanka, the Kelani Viharaya stands out as one of the most exquisite examples of the sculptor’s art. Its history runs back to more than 2500 years. In the days of yore, it always received full royal patronage, and to this day, it’s has been highly venerated by the people of the island. Its significance as a place of Buddhist worship is clearly evident in the island’s folklore. The dagoba, which (unusually) is hollow, is the focus of the Duruthu Perahera in January each year."
115,colombo,Viharamahadevi Park,"Viharamahadevi Park, known earlier as Victoria Park, is Colombo's only central park. It's been done-up for quite a while now and it looks great, especially in the evenings.  It’s notable for its superb flowering trees, which bloom in March, April and early May. Elephants used for ceremonies sometimes spend the night in the park, chomping on palm branches."
116,colombo,Independence Memorial Hall,"Independence Memorial Hall is a national monument in Sri Lanka built for commemoration of the independence of Sri Lanka from the British rule on February 4, 1948.

The structure is made of concrete, and bear columns similar to what is found in ancient Sri Lankan architecture and it was designed to resemble a Kandyan audience hall. The rows of stone lions that guard this great monument are a unique feature of this Hall.

This remarkable site in Colombo has become a major tourist attraction due to its historical significance and extraordinary work of architecture.It is one of the significant heritage sites of the city that you must visit."
117,imphal,Loktak Lake,"Loktak Lake, the largest freshwater (sweet) lake in northeast India, also called the only Floating lake in the world due to the floating phumdis (heterogeneous mass of vegetation, soil, and organic matters at various stages of decomposition) on it, is located near Moirang in Manipur state, India."
118,imphal,Kangla Fort,"The Palace of Kangla is an old palace at Imphal in Manipur (Kangleipak). It was situated on both sides (western and eastern) of the bank of the Imphal River. But now it remains only on the western side of the bank. Only the ruins remain now. Kangla means ""dry land"" in old Meetei. It was the traditional seat of the past Meetei rulers of Manipur."
119,imphal,Imphal War Cemetery,"The Imphal War Cemetery is located in Imphal, the capital of the Indian state of Manipur, in Northeast India. The cemetery has 1,600 Commonwealth burials of the Second World War and is maintained by the Commonwealth War Graves Commission.
Earl Louis Mountbatten described the battle fought at Imphal and Kohima as ""probably one of the greatest battles in history"". In 2013, the Battle of Kohima and Imphal was voted as one of the greatest battles in history, based on a national survey conducted by the National Army Museum."
120,imphal,Shahid Minar,It is a 11m tall tower is situated in the centre of the Bir Tirkendrajit Park and is a memorial for those who died against the British while fighting in the Meitei Revolt in 1891.
121,imphal,Manipur Zoological Gardens,"Located about 7 km away from the state capital, Imphal on Imphal-Kanchup road and surrounded by dense forest and hillocks, &quot;Jewel Box&quot; of Manipur is home to a number of rare and endangered species which are endemic to this region, many of which are included in Scheduled I and II of the Wildlife (Protection) Act, 1972. It covers an area of 8 hectares with an additional 2.13 hectares of Langol Reserve Forest maintained for captive breeding of Sangai, which is one of the world&#39;s most endangered animals and found only in Manipur. 

There are 55 species of animals and birds and the total number of animals is over 420. This garden is also home to a rare bird species called Nongin. The Forest Department has been able to conserve this almost extinct bird. You can easily find thamin and other animals sitting idle on the grass or in the shadow of a tree, and these candid shots are worth cherishing a lifetime."
122,imphal,Shri Shri Govindjee Temple,"Situated next to the palace of the former rulers of the then the Manipur Kingdom, Shri Govindjee temple is the largest Hindu, Vaishnav temple in Imphal, Manipur and was originally built in 1846 AD. It is a Hindu Temple where the deities worshiped are Hindu Gods, Radha, and Krishna Govinda.

This elegant temple is built in an idyllic location with a well-tended garden surrounding the premises and people admire the temple structure which is built out of red bricks and it features a rectangular medieval style of architecture. It is dedicated to Shree Krishna Govindajee along with various other Hindu Gods and Goddesses viz Krishna, Balaram, Jagannath, Subhadra etc. The daily worship practice in the morning and in the evening is very ritualistic and highly disciplined with strict dress code observed by the devotees. The important festivals celebrated are Janmashtami and Kang (June-July).
"
123,kalimpong,Deolo Hill,"Deolo Hill is one of the two hills that the town of Kalimpong stands between. Kalimpong is situated on a ridge connecting the two hills, Durpin and Deolo. The hill is 1,704 m (5,590 ft) above msl and is the highest point of Kalimpong town.
The town of Kalimpong, the surrounding villages of Relli valley, Teesta River and its valleys all can be viewed from this point.
On a clear day, the snow-clad mountains of West Sikkim are also visible from this hill. At the summit of this hill, there is a park built for recreation purposes which feature exotic flowers. The park is a popular picnic spot for tourists as well as locals."
124,kalimpong,"Pineview Nursery, Kalimpong","Most beautiful memorizing place of nature, with playing of colors and shapes. It is a beauty of nature and surrounding with lots and lot of magical nature with great gesture. A class of handling Cactus plants with full of care. Best time to visit is april to may season."
125,kalimpong,St. Theresa Catholic Church,"St Theresa's Church was commissioned by a missionary in 1929 by Swiss Jesuits. The church was built by local craftsmen and resembles a Bhutanese monastery. Influence of the Tibetan architectural design can be seen in the structure of the church. Carved apostles which look like Buddhist monks and the carvings on doors which resemble tashi tagye (the 8 auspicious symbols of the Himalayan Buddhism) show the influence of Tibetan architecture. From the church, one has the chance of viewing the scenic Himalayan ranges."
126,kalimpong,"Morgan House, Kalimpong","Morgan house is one of the colonial bungalows of the British Raj period situated in the town of Kalimpong. Morgan house has been converted into a tourist lodge by the government of India. It was originally the home of a rich jute merchant from Britain.

The garden is very good and the scenic view of the mountains from the house is excellent. Morgan house is open for public viewing. It is now a budget hotel / guest house and is a very comfortable place to stay. It is a heaven on earth for bird and wildlife watchers as the marshes around attract wildlife."
127,kalimpong,Thongsa Gompa,"Kalimpong is famous for its several monasteries, which are spread all across the region and present an ideal place for spiritually inclined people. Thongsa or Tongsa Gompa is the oldest monastery in Kalimpong which was built in 1692. 

It's also known as the Bhutan Monastery and located close to Mangal Dham. This is an ideal place for meditation and the Buddhist monks everyday offer prayers in this monastery"
128,kalimpong,Tharpa Choling Monastery,"Gaden Tharpa Choling Monastery is a Gelugpa monastery situated at the hilltop in Kalimpong, India.
Excellent monastery with colourful and vibrant idols and peaceful ambience. Do visit this Monastery if you are visiting Kalimpong. Do visit all the floors and see the magnificent himalayas from top floor."
129,kalimpong,Zong Dog Palri Fo Brang Monastery,"Breathtaking views, calmness of monastery, and great architecture is something that you would like. 
This would be your best place when you visited Kalimpong."
130,bangalore,Bungee Jumping,"Bangalore is one of the cities where adventure sports are welcome be it trekking or scuba diving. But the most thrilling sport that they really focus on is the Bungee Jumping which gives adrenaline pumping experience. Ozone group in Bangalore are the first people to introduce Bungee Jumping in Bangalore and also they provide all the services and equipments needed for the bungee jumping adventure sports.

Kanteerava Stadium is a place where Bungee Jumping is held and where all the equipments are attached to 130ft mobile crane while the jumping is done from a height of 80 ft. People about to do the jump have to wear their sports shoe and also not drink alcohol before the jump. The price per person is Rs. 400. Anyone between the age group of 18 and 60 years can enjoy this adrenaline pumping experience. Bungee jumping from cranes is not as safe as jumping from fixed platforms but safety is given utmost preference here thus giving wonderful jumping experience."
131,bangalore,Wonderla Water Park,"Wonderla is truly the wonderland of fun and joy offering a world of splashing waters, ecstatic children and thrilling rides. Treat yourself and your children to a day of pure thrill and excitement at the Wonderla Amusement Park. The rides at the park are divided in terms of kids’ rides, water rides, dry rides and high thrill rides. You get on one of the 60+ exhilarating rides, or simply laze by the pool under the bright sun.

You can purchase you tickets online; the park also offers special discounts for students. Try to get to the park early so that you don’t need to queue up for your favorite ride and if you plan to get on the water rides then it’s a good idea to carry a change of clothes. From toddlers to older kids, the park has rides that would be fun for all ages of kids. The park maintains strict international safety and hygienic standards. The park also offers heated pools to its customers during winters. When you are tired of playing all the games, you can tickle your taste buds and energize yourself at the 7 multi-cuisine restaurants."
132,bangalore,Bangalore Palace,"Besieged by beautiful gardens, the gallant Bangalore palace, is a famous tourist attraction in Bangalore. It is now owned by the Mysore Royal family. Chamarajendra Wadiyar bought the original property in 1873 from the principal of Bangalore Central High School, Rev, J Garret, from his personal funds. The main building spreads across 45,000 square feet and it a mixture of Tudor and Scottish Gothic architecture. 

The Bangalore Palace is one of the most eye-catching tourist attractions in the city of Bangalore. Apart from being a major tourist destination, it is also preferred for important events and other cultural programs. The wooden structure of the palace along with the splendid carvings both inside and outside the palace depicts various architectural styles and showcases the royal culture. It is averred that King Chamarajendra Wadiyar drew his aspiration from the Windsor Castle of London."
133,bangalore,Lal Bagh,"Lalbagh Botanical Garden is located in Bangalore and is nationally and internationally renowned centre for botanical artwork, scientific study of plants and also conservation of plants. Covering an area 240 acres in the heart of the city it has nearly 1,854 species of plants. It was completed by Tipu Sultan and initially commissioned by Hyder Ali in 1760. Tipu Sultan brought in imported trees and plants from countries all over the world and planted them here.

Lalbagh Botanical Garden is one of the world's largest collections of rare plants. The garden also consists of the famous glass house where an annual flower show is held every year and is also a home to an aquarium and a lake. One of the major tourist attractions of Lalbagh botanical garden is Lal Bagh Rock which is over 3000 million years old. It is spread over 240 acres. The garden features rare plants of French, Persian and Afghani origin and has attained the status of a Government Botanical Garden. Lalbagh botanical garden is eventually a heaven for all nature lovers"
134,bangalore,Bannerghatta National Park,"The Bannerghatta National Park in Bangalore is sited in the middle of the forests in the valley of the famous Champakadhama hills, is a rich natural zoological reserve that works towards conservation of wildlife and promotes responsible wildlife tourism. Housing the country's first butterfly park, this national park has a huge variety of fauna, making it one of the most enjoyable tourist attractions in the city. 

Also safari rides through the park are popularly opted by the tourists. The Bannerghatta Biological park was established in 1971 and is located 22 km away from Bangalore. The Park is spread out to around 104.27 sq.km which includes ten Reserve Forests of Anekal Range of the Bangalore Forest Division. Bannerghatta is made up of the National Park, an Aquarium, a Zoo, and Children’s park, Crocodile Farm, Snake Park, Prehistoric Animals Park and a Museum. There are also Safaris to see tigers and lions, and elephant ride is the main source of attraction of the Park. You can spot Lions, Tigers, Crocodiles amongst numerous other wildlife in the park."
135,bangalore,Cubbon Park,"Cubbon park is a major sightseeing attraction, with 300 acres of green foliage. Having been laid down by Lord Cubbon, it is an ideal place for nature lovers and those seeking a calm atmosphere. It features a bandstand that hosts concerts. Being the second largest aquarium in India a Bangalore Aquarium is a must visit site in Bengaluru which is also situated in this park. Initially, the park was called ""Meade's Park"" and later came to be known as the Cubbon Park.

In the year 1927, the park was officially renamed as ""Chamarajendra Park"" to mark the Silver Jubilee of Krishnaraja Wodeyar's rule in Mysore State and was initially established in the year 1870 by Sri John Meade. At present, the Cubbon Park is under the control of the Department of Horticulture. For the administration and maintenance of the park the Deputy Director of Horticulture (Cubbon Park) is responsible. The park was originally spread over 100 acres, which was later extended to 300 acres. Since the introduction of the park, it was made and improved in many ways."
136,bangalore,ISKCON Temple,"ISKCON (International Society for Krishna Consciousness) temple which is also reckoned as a Sri Radha Krishna Temple was built with a magnificent architectural style. The temple is a perfect union of spirituality and modernity. Apart from a religious temple, ISKCON is a cultural complex accommodating dedicated deities of Sri Sri Radha Krishnachandra, Sri Sri Krishna Balarama, Sri Sri Nitai Gauranga, Sri Srinivasa Govinda and Sri Prahlada Narasimha. 

An activity of engagement involving ardent devotees of the Lord Krishna makes Iskcon Temple popular. The temple enrolls members for life, arranges programs for Krishna consciousness, arranges public programs for awareness in community centers and does songs and recitals admiring and praying to Krishna in public processions. They also have art competitions for youngsters and children. There is a gold plated pillar with a flag, 17 meters high, and a kalash 8.5 meters high. Prasadam is distributed to all devotees for free. The temple attracts devotees or tourists from all over the world as it provides a great spiritual experience."
137,bangalore,Art of Living International Center,"Art of Living International Center is the best place to beat your stress and city blues. Located in lap of nature and greenery all around this place calms your mind and you can get spiritual senses by meditating in the vast expanse of the Art of Living International Center. Radha-kunj is a walkway queued up by trees and plants by the lake in the ashram. Gurukul is overlooking a natural lake, which has 2 crocodiles. Navratri and peace programs are held with great enthusiasm in ashram.

Nandi statue at the main entrance to Vishalakshi mandap faces a painting of Ma Vishalakshi inside the mandap. At different places in the ashram, beautiful acrylics paintings are hung on walls including one of Ardh-Narishwar and Ma Annapurna. The circular hall with double storied seating may be huge but it has the feel of being at home in your drawing room with close friends, even though many of those present here are first time visitors. Handmade clothes and artifacts at Sri Sri Kriti are one of the beautiful artifacts."
138,bangalore,Ulsoor Lake,"Ulsoor Lake is one of the biggest lakes in Bangalore which is located on the eastern side of the city. It draws its name from the name of the locality it is situated in, namely, Ulsoor, close to M G Road. Expanded over 50 hectares it has several islands. The present day lake was created by Sir Lewin Bentham Bowring, Bangalore's commissioner. This lake was earlier known as Halsur or Alasur. 

 Ulsoor or Halasuru, is one of the oldest neighbourhoods in the city of Bangalore. It is located in central Bangalore. It is quite known for its numerous temples and narrow streets. This Lake was constructed by Kempe Gowda II in the 2nd century. This lake was earlier known as Halsur or Alasur. It is now used as one of the important venue for the Ganesha Festival. Although the lake is not suitable for swimming, you can have a refreshing swimming experience at the recreational complex which is located quite close by. However, at the lake you can go for boating."
139,bangalore,Boating in Ulsoor Lake,"Ulsoor Lake is one of the biggest lakes in Bangalore which is located on the eastern side of the city. It draws its name from the name of the locality it is situated in, namely, Ulsoor, close to M G Road. Expanded over 50 hectares it has several islands. Boating at ulsoor lake is easy and enjoyable. Not only that its also affordable. Lake is reasonably clean or dirty whichever way you look at it but the boating is enjoyable especially around the sunset time.

 Ulsoor or Halasuru, is one of the oldest neighbourhoods in the city of Bangalore. It is located in central Bangalore. This lake was earlier known as Halsur or Alasur. It is now used as one of the important venue for the Ganesha Festival. Although the lake is not suitable for swimming, you can have a refreshing swimming experience at the recreational complex which is located quite close by. However, at the lake you can go for boating.One can enjoy boating here, which includes paddle boats and motor boat ride. This is for around 20 minutes and costs 35 per head. Snacks and refreshment counters are also there just like any other place in city."
140,bangalore,"Bull Temple, Bangalore","Bull temple is associated with mythological & religious significance; the shrine is a renowned worship place. It is one of the calm, peaceful and oldest places in Bangalore. It is dedicated to nandi bull, the vahana of Lord Shiva. Bull temple is situated in Basavanagudi, built in the Dravidian style of architecture. During his time, Kempe Gowda, the founder of Bangalore got the bull temple built. 

This temple counts among the oldest temples of the city and draws devotees from all over the country. With a height of 4.5 m and length of 6.5 m in measurement there is a huge idol of Nandi Bull inside the temple. It is said to have been carved out of a single rock. The bull also has a small iron plate on its head. As per the tradition, the plate prevents the bull from growing. The idols of God surya and Goddess chandra are providing a great backdrop to the statue. It is believed that the VIshva Bharti River originates at the feet of this statue."
141,bangalore,Ragigudda Anjaneya Temple,"Anjaneya or Hanumana is one of the very popular Hindu gods among the rural as well as among the urban people. Ragigudda Anjaneya Temple is one of the important Hanuman temples of Bangalore. The Ragigudda Anjaneya Temple was constructed in 1969 and it was registered in the year 1972. The temple complex is spread around 5 acres of land. Lord is worshiped here for various benefits beliefs: health, wealth, and happiness, fulfillment of desires, success and magical accomplishments

The Ragigudda Sri Prasanna Anjaneyaswamy Temple located on the hilltop is the main attraction in the temple premises. There was a huge heap of Ragi (a food grain) that turned into a rock, therefore the name ""Ragigudda"" as per the history. When this incident happened, The Thrimurthies, Lord Brahma, Vishnu, Shiva visited the spot, wanted to reside here permanently modifying themselves into three huge stones pillars. Other shrines in the temple premises with individual uniqueness are Lord Sri Seetha Rama Swamy, Sri Ganesha, Bhagavathi, Sri Rajarajeshwari and Navagrahas."
142,bangalore,Bungee Jumping,"Bangalore is one of the cities where adventure sports are welcome be it trekking or scuba diving. But the most thrilling sport that they really focus on is the Bungee Jumping which gives adrenaline pumping experience. Ozone group in Bangalore are the first people to introduce Bungee Jumping in Bangalore and also they provide all the services and equipments needed for the bungee jumping adventure sports.

Kanteerava Stadium is a place where Bungee Jumping is held and where all the equipments are attached to 130ft mobile crane while the jumping is done from a height of 80 ft. People about to do the jump have to wear their sports shoe and also not drink alcohol before the jump. The price per person is Rs. 400. Anyone between the age group of 18 and 60 years can enjoy this adrenaline pumping experience. Bungee jumping from cranes is not as safe as jumping from fixed platforms but safety is given utmost preference here thus giving wonderful jumping experience."
143,bangalore,Wonderla Water Park,"Wonderla is truly the wonderland of fun and joy offering a world of splashing waters, ecstatic children and thrilling rides. Treat yourself and your children to a day of pure thrill and excitement at the Wonderla Amusement Park. The rides at the park are divided in terms of kids’ rides, water rides, dry rides and high thrill rides. You get on one of the 60+ exhilarating rides, or simply laze by the pool under the bright sun.

You can purchase you tickets online; the park also offers special discounts for students. Try to get to the park early so that you don’t need to queue up for your favorite ride and if you plan to get on the water rides then it’s a good idea to carry a change of clothes. From toddlers to older kids, the park has rides that would be fun for all ages of kids. The park maintains strict international safety and hygienic standards. The park also offers heated pools to its customers during winters. When you are tired of playing all the games, you can tickle your taste buds and energize yourself at the 7 multi-cuisine restaurants."
144,bangalore,Bangalore Palace,"Besieged by beautiful gardens, the gallant Bangalore palace, is a famous tourist attraction in Bangalore. It is now owned by the Mysore Royal family. Chamarajendra Wadiyar bought the original property in 1873 from the principal of Bangalore Central High School, Rev, J Garret, from his personal funds. The main building spreads across 45,000 square feet and it a mixture of Tudor and Scottish Gothic architecture. 

The Bangalore Palace is one of the most eye-catching tourist attractions in the city of Bangalore. Apart from being a major tourist destination, it is also preferred for important events and other cultural programs. The wooden structure of the palace along with the splendid carvings both inside and outside the palace depicts various architectural styles and showcases the royal culture. It is averred that King Chamarajendra Wadiyar drew his aspiration from the Windsor Castle of London."
145,bangalore,Lal Bagh,"Lalbagh Botanical Garden is located in Bangalore and is nationally and internationally renowned centre for botanical artwork, scientific study of plants and also conservation of plants. Covering an area 240 acres in the heart of the city it has nearly 1,854 species of plants. It was completed by Tipu Sultan and initially commissioned by Hyder Ali in 1760. Tipu Sultan brought in imported trees and plants from countries all over the world and planted them here.

Lalbagh Botanical Garden is one of the world's largest collections of rare plants. The garden also consists of the famous glass house where an annual flower show is held every year and is also a home to an aquarium and a lake. One of the major tourist attractions of Lalbagh botanical garden is Lal Bagh Rock which is over 3000 million years old. It is spread over 240 acres. The garden features rare plants of French, Persian and Afghani origin and has attained the status of a Government Botanical Garden. Lalbagh botanical garden is eventually a heaven for all nature lovers"
146,bangalore,Bannerghatta National Park,"The Bannerghatta National Park in Bangalore is sited in the middle of the forests in the valley of the famous Champakadhama hills, is a rich natural zoological reserve that works towards conservation of wildlife and promotes responsible wildlife tourism. Housing the country's first butterfly park, this national park has a huge variety of fauna, making it one of the most enjoyable tourist attractions in the city. 

Also safari rides through the park are popularly opted by the tourists. The Bannerghatta Biological park was established in 1971 and is located 22 km away from Bangalore. The Park is spread out to around 104.27 sq.km which includes ten Reserve Forests of Anekal Range of the Bangalore Forest Division. Bannerghatta is made up of the National Park, an Aquarium, a Zoo, and Children’s park, Crocodile Farm, Snake Park, Prehistoric Animals Park and a Museum. There are also Safaris to see tigers and lions, and elephant ride is the main source of attraction of the Park. You can spot Lions, Tigers, Crocodiles amongst numerous other wildlife in the park."
147,bangalore,Cubbon Park,"Cubbon park is a major sightseeing attraction, with 300 acres of green foliage. Having been laid down by Lord Cubbon, it is an ideal place for nature lovers and those seeking a calm atmosphere. It features a bandstand that hosts concerts. Being the second largest aquarium in India a Bangalore Aquarium is a must visit site in Bengaluru which is also situated in this park. Initially, the park was called ""Meade's Park"" and later came to be known as the Cubbon Park.

In the year 1927, the park was officially renamed as ""Chamarajendra Park"" to mark the Silver Jubilee of Krishnaraja Wodeyar's rule in Mysore State and was initially established in the year 1870 by Sri John Meade. At present, the Cubbon Park is under the control of the Department of Horticulture. For the administration and maintenance of the park the Deputy Director of Horticulture (Cubbon Park) is responsible. The park was originally spread over 100 acres, which was later extended to 300 acres. Since the introduction of the park, it was made and improved in many ways."
148,bangalore,ISKCON Temple,"ISKCON (International Society for Krishna Consciousness) temple which is also reckoned as a Sri Radha Krishna Temple was built with a magnificent architectural style. The temple is a perfect union of spirituality and modernity. Apart from a religious temple, ISKCON is a cultural complex accommodating dedicated deities of Sri Sri Radha Krishnachandra, Sri Sri Krishna Balarama, Sri Sri Nitai Gauranga, Sri Srinivasa Govinda and Sri Prahlada Narasimha. 

An activity of engagement involving ardent devotees of the Lord Krishna makes Iskcon Temple popular. The temple enrolls members for life, arranges programs for Krishna consciousness, arranges public programs for awareness in community centers and does songs and recitals admiring and praying to Krishna in public processions. They also have art competitions for youngsters and children. There is a gold plated pillar with a flag, 17 meters high, and a kalash 8.5 meters high. Prasadam is distributed to all devotees for free. The temple attracts devotees or tourists from all over the world as it provides a great spiritual experience."
149,bangalore,Art of Living International Center,"Art of Living International Center is the best place to beat your stress and city blues. Located in lap of nature and greenery all around this place calms your mind and you can get spiritual senses by meditating in the vast expanse of the Art of Living International Center. Radha-kunj is a walkway queued up by trees and plants by the lake in the ashram. Gurukul is overlooking a natural lake, which has 2 crocodiles. Navratri and peace programs are held with great enthusiasm in ashram.

Nandi statue at the main entrance to Vishalakshi mandap faces a painting of Ma Vishalakshi inside the mandap. At different places in the ashram, beautiful acrylics paintings are hung on walls including one of Ardh-Narishwar and Ma Annapurna. The circular hall with double storied seating may be huge but it has the feel of being at home in your drawing room with close friends, even though many of those present here are first time visitors. Handmade clothes and artifacts at Sri Sri Kriti are one of the beautiful artifacts."
150,bangalore,Ulsoor Lake,"Ulsoor Lake is one of the biggest lakes in Bangalore which is located on the eastern side of the city. It draws its name from the name of the locality it is situated in, namely, Ulsoor, close to M G Road. Expanded over 50 hectares it has several islands. The present day lake was created by Sir Lewin Bentham Bowring, Bangalore's commissioner. This lake was earlier known as Halsur or Alasur. 

 Ulsoor or Halasuru, is one of the oldest neighbourhoods in the city of Bangalore. It is located in central Bangalore. It is quite known for its numerous temples and narrow streets. This Lake was constructed by Kempe Gowda II in the 2nd century. This lake was earlier known as Halsur or Alasur. It is now used as one of the important venue for the Ganesha Festival. Although the lake is not suitable for swimming, you can have a refreshing swimming experience at the recreational complex which is located quite close by. However, at the lake you can go for boating."
151,bangalore,Boating in Ulsoor Lake,"Ulsoor Lake is one of the biggest lakes in Bangalore which is located on the eastern side of the city. It draws its name from the name of the locality it is situated in, namely, Ulsoor, close to M G Road. Expanded over 50 hectares it has several islands. Boating at ulsoor lake is easy and enjoyable. Not only that its also affordable. Lake is reasonably clean or dirty whichever way you look at it but the boating is enjoyable especially around the sunset time.

 Ulsoor or Halasuru, is one of the oldest neighbourhoods in the city of Bangalore. It is located in central Bangalore. This lake was earlier known as Halsur or Alasur. It is now used as one of the important venue for the Ganesha Festival. Although the lake is not suitable for swimming, you can have a refreshing swimming experience at the recreational complex which is located quite close by. However, at the lake you can go for boating.One can enjoy boating here, which includes paddle boats and motor boat ride. This is for around 20 minutes and costs 35 per head. Snacks and refreshment counters are also there just like any other place in city."
152,bangalore,"Bull Temple, Bangalore","Bull temple is associated with mythological & religious significance; the shrine is a renowned worship place. It is one of the calm, peaceful and oldest places in Bangalore. It is dedicated to nandi bull, the vahana of Lord Shiva. Bull temple is situated in Basavanagudi, built in the Dravidian style of architecture. During his time, Kempe Gowda, the founder of Bangalore got the bull temple built. 

This temple counts among the oldest temples of the city and draws devotees from all over the country. With a height of 4.5 m and length of 6.5 m in measurement there is a huge idol of Nandi Bull inside the temple. It is said to have been carved out of a single rock. The bull also has a small iron plate on its head. As per the tradition, the plate prevents the bull from growing. The idols of God surya and Goddess chandra are providing a great backdrop to the statue. It is believed that the VIshva Bharti River originates at the feet of this statue."
